"David Attenborough: A Life on Our Planet" | Documentary | 9
"Emicida: AmarElo - It's All For Yesterday" | Documentary | 8.6
"Springsteen on Broadway" | "One-man show" | 8.5
"Winter on Fire: Ukraine's Fight for Freedom" | Documentary | 8.4
"Ben Platt: Live from Radio City Music Hall" | "Concert Film" | 8.4
"Taylor Swift: Reputation Stadium Tour" | "Concert Film" | 8.4
"Cuba and the Cameraman " | Documentary | 8.3
"Dancing with the Birds" | Documentary | 8.3
13th | Documentary | 8.2
Seaspiracy | Documentary | 8.2
